microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
13712,0.051,-0.919,0.085,-0.366,7.874,-7.202,-83.99,-2.192,-101.86,2
13769,-0.873,0.252,0.021,2.136,-10.681,3.479,75.762,71.669,-34.025,2
13816,0.068,-0.974,0.063,-19.165,7.202,-17.517,-85.106,-3.516,-102.645,2
13890,-0.894,0.285,0.052,-4.7,-24.963,3.906,70.955,70.994,-38.936,2
13922,0.153,-0.897,0.08,-11.108,7.568,-29.724,-86.402,-5.713,-103.145,2
14098,-0.858,0.25,0.136,-6.836,-41.199,5.249,63.325,69.099,-46.807,2
14110,-0.833,0.288,0.23,-2.93,-54.443,11.78,53.212,65.825,-57.101,2
14126,0.289,-1.021,-0.023,-13.916,7.385,-59.631,-90.176,-15.628,-104.81,2
14178,-0.923,0.368,0.357,-14.038,-53.65,14.587,45.807,60.969,-64.644,2
14264,-0.829,0.369,0.42,-13.245,-54.321,9.277,39.326,56.245,-70.302,2
14342,0.424,-0.899,0.019,-12.451,4.822,-41.87,-92.285,-25.724,-104.442,2
14417,0.493,-0.916,-0.024,-8.484,6.897,-29.48,-93.543,-29.262,-104.815,2
14444,-0.758,0.38,0.574,-3.54,-46.875,3.967,34.904,51.482,-74.608,2
14504,-0.719,0.317,0.609,-5.249,-32.41,3.601,31.937,48.12,-77.701,2
14506,0.5,-0.843,-0.076,-2.93,7.08,-32.715,-94.153,-32.217,-105.266,2
14596,-0.685,0.332,0.614,-0.122,-33.142,4.456,30.245,44.923,-79.81,2
14623,0.638,-0.802,-0.084,-7.874,0.977,-34.729,-94.845,-35.59,-105.106,2
14668,-0.673,0.354,0.642,3.845,-44.983,9.094,28.24,41.111,-81.453,2
14774,-0.6,0.362,0.778,2.625,-33.386,0.854,26.213,37.189,-83.551,2
14807,0.687,-0.792,-0.057,-8.972,5.371,-18.005,-96.515,-41.254,-105.419,2
14897,0.655,-0.743,-0.102,2.319,2.197,-8.911,-96.487,-42.281,-105.628,2
14929,-0.577,0.324,0.737,2.136,-24.902,7.141,25.67,34.568,-84.622,2
15017,0.654,-0.723,-0.089,-5.92,1.404,-14.038,-97.114,-43.121,-105.496,2
15051,-0.484,0.301,0.766,-2.136,-38.086,5.31,24.994,31.816,-85.583,2
15074,-0.465,0.335,0.754,-8.545,-40.649,8.911,24.214,28.345,-86.786,2
15106,0.688,-0.714,-0.104,-4.395,-4.211,-12.634,-97.685,-44.154,-104.755,2
15194,-0.36,0.341,0.885,-16.174,-39.124,12.451,22.33,24.066,-87.512,2
15284,-0.329,0.343,0.88,-13.428,-23.254,0.244,20.566,20.709,-88.341,2
15311,0.736,-0.705,-0.127,-7.69,-6.348,-12.329,-100.124,-47.038,-102.733,2
15374,-0.295,0.276,0.775,-10.376,-64.575,6.47,18.907,16.952,-89.357,2
15479,-0.144,0.311,0.981,-7.141,-59.326,6.836,17.765,10.179,-90.648,2
15508,0.782,-0.63,-0.14,-3.174,4.578,-20.691,-101.387,-50.685,-102.508,2
15584,-0.113,0.295,0.937,-10.681,-57.739,8.423,16.133,4.774,-91.758,2
15599,0.792,-0.663,-0.119,-5.127,6.531,-13,-101.849,-52.278,-102.903,2
15689,0.047,0.229,0.94,-10.803,-64.026,9.521,15.139,-1.5,-92.653,2
15705,0.813,-0.601,-0.142,-1.221,5.31,-12.268,-101.629,-53.657,-103.381,2
15794,0.167,0.208,0.992,-8.728,-56.641,8.362,13.969,-7.927,-93.669,2
15807,0.866,-0.577,-0.123,-8.24,6.104,-11.658,-101.904,-55.25,-103.656,2
15884,0.254,0.236,1.084,-10.498,-29.114,1.526,12.859,-12.343,-94.362,2
15989,0.221,0.244,1.043,5.676,3.662,-8.24,12.881,-13.002,-94.839,2
16001,0.843,-0.58,-0.139,-4.333,2.136,-0.854,-104.573,-57.272,-102.991,2
16082,0.841,-0.522,-0.129,6.165,-0.549,7.69,-103.991,-56.799,-103.046,2
16097,0.226,0.222,0.989,10.62,15.198,-6.47,13.222,-11.816,-95.466,2
16187,0.814,-0.548,-0.119,7.813,-1.099,6.592,-103.299,-56.041,-103.195,2
16201,0.176,0.207,0.912,-0.305,1.648,1.221,13.942,-10.794,-95.674,2
16277,0.85,-0.461,-0.103,0,-2.502,-2.075,-102.854,-55.767,-103.046,2
